time_s,setpoint,T1_measured,T2_measured,Tmean_measured,T1_equilibrium_from_steady,T2_equilibrium_from_steady,Tmean_equilibrium_from_steady,T1_dynamic_fit,T2_dynamic_fit,Tmean_dynamic_fit,Tsurface_final_model_from_setpoint,Tmean_minus_final_model_C
132.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.12033668312253,48.38658598585386,48.25332219721645,48.25332219721645,-3.653322197216447
133.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.14252145775195,48.413595124098315,48.277993190109044,48.277993190109044,-3.677993190109042
134.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.163481404800365,48.439234898530664,48.301361998617296,48.301361998617296,-3.701361998617294
135.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.18328414733938,48.46357473592169,48.32349735463936,48.32349735463936,-3.723497354639356
136.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.201993574951985,48.4866805431036,48.34446436226624,48.34446436226624,-3.7444643622662355
137.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.21967004985953,48.50861488543099,48.3643246892647,48.3643246892647,-3.764324689264697
138.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.23637060166831,48.529437156193794,48.383136748453346,48.383136748453346,-3.7831367484533445
139.0,45.0,44.5,44.7,44.6,48.52215995440731,48.91931041033436,48.72073518237084,48.252149111364204,48.54920373744106,48.40095586950532,48.40095586950532,-3.800955869505316
140.0,45.0,44.6,44.7,44.650000000000006,48.52215995440731,48.91931041033436,48.72073518237084,48.26705648514885,48.56796815265089,48.41783446168285,48.41783446168285,-3.7678344616828454
141.0,45.0,44.6,44.7,44.650000000000006,48.52215995440731,48.91931041033436,48.72073518237084,48.28114081867833,48.58578121166005,48.43382216798243,48.43382216798243,-3.7838221679824215
142.0,45.0,44.6,44.7,44.650000000000006,48.52215995440731,48.91931041033436,48.72073518237084,48.294447552234175,48.60269114824563,48.4489660111438,48.4489660111438,-3.798966011143797
143.0,45.0,44.6,44.7,44.650000000000006,48.52215995440731,48.91931041033436,48.72073518237084,48.30701961732733,48.61874375073134,48.46331053195243,48.46331053195243,-3.8133105319524248
144.0,45.0,44.6,44.7,44.650000000000006,48.52215995440731,48.91931041033436,48.72073518237084,48.318897575208055,48.633982485972,48.47689792024194,48.47689792024194,-3.826897920241933
145.0,45.0,45.0,44.7,44.85,48.52215995440731,48.91931041033436,48.72073518237084,48.330119747728716,48.6484486170521,48.48976813898211,48.48976813898211,-3.639768138982106
146.0,55.0,46.2,45.1,45.650000000000006,57.59627976190477,58.14806547619048,57.87217261904763,48.841707020753866,49.13007936876397,48.98499022650434,48.98499022650434,-3.334990226504331
147.0,55.0,48.0,45.8,46.9,57.59627976190477,58.14806547619048,57.87217261904763,49.32504941806773,49.587291432392504,49.454073501050544,49.454073501050544,-2.5540735010505458
148.0,55.0,49.8,46.7,48.25,57.59627976190477,58.14806547619048,57.87217261904763,49.78170634711847,50.02132283587838,49.898397621486936,49.898397621486936,-1.6483976214869358
149.0,55.0,50.9,47.8,49.349999999999994,57.59627976190477,58.14806547619048,57.87217261904763,50.2131511200351,50.43334883912263,50.31926942552336,50.31926942552336,-0.9692694255233647
150.0,55.0,51.4,48.7,50.05,57.59627976190477,58.14806547619048,57.87217261904763,50.620775706973966,50.8244851163274,50.717926773359665,50.717926773359665,-0.6679267733596674
151.0,55.0,51.5,49.4,50.45,57.59627976190477,58.14806547619048,57.87217261904763,51.00589522703173,51.19579077699203,51.09554218845677,51.09554218845677,-0.6455421884567656
152.0,55.0,51.7,49.9,50.8,57.59627976190477,58.14806547619048,57.87217261904763,51.369752191213735,51.54827123374448,51.45322630614047,51.45322630614047,-0.6532263061404748
153.0,55.0,51.9,50.3,51.099999999999994,57.59627976190477,58.14806547619048,57.87217261904763,51.71352051114696,51.88288092477377,51.79203114018114,51.79203114018114,-0.6920311401811432
154.0,55.0,52.1,50.8,51.45,57.59627976190477,58.14806547619048,57.87217261904763,52.03830928647076,52.20052589823496,52.1129531769567,52.1129531769567,-0.6629531769566981
